"","id","senator_party","condition","pid7","pre_sexism_1","pre_sexism_2","pre_sexism_3","pre_sexism_4","pre_favorability","pre_vote","gender","age","newsinterest","post_favorability","post_vote","punishment_1","punishment_2","punishment_3","punishment_4","punishment_5","post_sexism_1","post_sexism_2","post_sexism_3","post_sexism_4","condition2","pid3","needmoreevidence","apology","longtimeago","resign","elitecues","needmoreevidence_reverse","longtimeago_reverse","meanpunishment","sameparty","pre_sexism","post_sexism","change_favorability","change_vote","change_sexism","perchange_favorability","perchange_vote","perchange_sexism"
"317",317,"Democrat",3,"Strong Republican",4,3,1,4,8,8,"Man","45-54","Only now and then",8,8,"","","","","",4,4,1,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",3,3.25,0,0,0.25,0,0,6.25
"318",318,"Republican",3,"Lean Democrat",2,3,3,3,0,0,"Man","25-34","Most of the time",0,0,"","","","","",2,3,3,3,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2.75,2.75,0,0,0,0,0,0
"319",319,"Democrat",1,"Strong Democrat",1,1,2,2,8,8,"Woman","55-64","Most of the time",8,8,"Agree strongly","Disagree strongly","Agree somewhat","Disagree strongly","Neither disagree nor agree",1,1,2,2,"Jokes","Democrat",5,1,4,1,3,1,2,1.25,"Same party",1.5,1.5,0,0,0,0,0,0
"320",320,"Democrat",2,"Independent",2,1,2,2,8,8,"Woman","25-34","Most of the time",5,5,"Disagree somewhat","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree","Neither disagree nor agree",2,1,2,1,"Assault","Independent",2,3,1,3,3,4,5,3.75,"Independents/Not sures",1.75,1.5,-3,-3,-0.25,-33.3333333333333,-33.3333333333333,-9.09090909090909
"321",321,"Democrat",2,"Strong Democrat",2,2,4,2,9,9,"Woman","25-34","Some of the time",6,6,"Disagree somewhat","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree",1,1,5,1,"Assault","Democrat",2,3,3,3,3,4,3,3.25,"Same party",2.5,2,-3,-3,-0.5,-30,-30,-14.2857142857143
"322",322,"Republican",3,"Lean Democrat",2,2,2,2,7,4,"Man","45-54","Most of the time",7,4,"","","","","",3,2,2,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2.25,0,0,0.25,0,0,8.33333333333333
"323",323,"Democrat",2,"Not very strong Republican",4,4,2,3,7,8,"Woman","55-64","Most of the time",7,7,"Agree somewhat","Disagree strongly","Agree strongly","Disagree strongly","Neither disagree nor agree",4,4,2,4,"Assault","Republican",4,1,5,1,3,2,1,1.25,"Opposite party",3.25,3.5,0,-1,0.25,0,-11.1111111111111,5.88235294117647
"324",324,"Republican",1,"Lean Republican",2,2,1,2,7,7,"Man","35-44","Some of the time",6,6,"Disagree somewhat","Agree somewhat","Agree strongly","Disagree somewhat","Neither disagree nor agree",2,2,1,2,"Jokes","Republican",2,4,5,2,3,4,1,2.75,"Same party",1.75,1.75,-1,-1,0,-12.5,-12.5,0
"325",325,"Democrat",1,"Not very strong Democrat",5,5,4,4,10,10,"Woman","35-44","Some of the time",10,10,"Agree strongly","Disagree strongly","Agree somewhat","Disagree strongly","Neither disagree nor agree",5,5,4,4,"Jokes","Democrat",5,1,4,1,3,1,2,1.25,"Same party",4.5,4.5,0,0,0,0,0,0
"326",326,"Republican",3,"Not very strong Democrat",3,3,2,3,6,4,"Woman","45-54","Only now and then",5,4,"","","","","",3,4,2,3,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2.75,3,-1,0,0.25,-14.2857142857143,0,6.66666666666667
"327",327,"Democrat",3,"Independent",1,1,2,1,9,9,"Man","25-34","Some of the time",9,9,"","","","","",1,1,2,1,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",1.25,1.25,0,0,0,0,0,0
"328",328,"Republican",3,"Strong Democrat",2,1,1,1,9,6,"Woman","65 or over","Most of the time",9,6,"","","","","",2,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",1.25,1.25,0,0,0,0,0,0
"329",329,"Republican",2,"Not very strong Democrat",2,2,2,2,3,3,"Man","55-64","Most of the time",0,0,"Disagree somewhat","Agree somewhat","Disagree somewhat","Neither disagree nor agree","Disagree somewhat",2,2,2,2,"Assault","Democrat",2,4,2,3,2,4,4,3.75,"Opposite party",2,2,-3,-3,0,-75,-75,0
"330",330,"Republican",1,"Lean Republican",2,2,2,1,7,6,"Woman","25-34","Some of the time",6,4,"Disagree strongly","Agree strongly","Disagree strongly","Agree somewhat","Disagree somewhat",2,2,2,1,"Jokes","Republican",1,5,1,4,2,5,5,4.75,"Same party",1.75,1.75,-1,-2,0,-12.5,-28.5714285714286,0
"331",331,"Democrat",2,"Independent",2,3,3,2,4,6,"Woman","25-34","Some of the time",8,5,"Agree somewhat","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Disagree somewhat",3,3,4,3,"Assault","Independent",4,3,3,3,2,2,3,2.75,"Independents/Not sures",2.5,3.25,4,-1,0.75,80,-14.2857142857143,21.4285714285714
"332",332,"Republican",3,"Lean Democrat",2,1,2,2,8,6,"Woman","35-44","Some of the time",9,6,"","","","","",2,1,2,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",1.75,1.5,1,0,-0.25,11.1111111111111,0,-9.09090909090909
"333",333,"Republican",2,"Independent",3,2,2,3,7,5,"Man","55-64","Most of the time",5,5,"Neither disagree nor agree","Neither disagree nor agree","Disagree somewhat","Disagree somewhat","Disagree strongly",2,3,2,3,"Assault","Independent",3,3,2,2,1,3,4,3,"Independents/Not sures",2.5,2.5,-2,0,0,-25,0,0
"334",334,"Republican",1,"Independent",1,1,1,1,8,6,"Woman","35-44","Most of the time",5,5,"Agree somewhat","Neither disagree nor agree","Disagree somewhat","Disagree somewhat","Neither disagree nor agree",1,1,1,1,"Jokes","Independent",4,3,2,2,3,2,4,2.75,"Independents/Not sures",1,1,-3,-1,0,-33.3333333333333,-14.2857142857143,0
"335",335,"Republican",1,"Independent",3,2,1,3,7,8,"Man","35-44","Some of the time",6,7,"Agree somewhat","Disagree somewhat","Agree somewhat","Disagree strongly","Disagree somewhat",2,2,1,2,"Jokes","Independent",4,2,4,1,2,2,2,1.75,"Independents/Not sures",2.25,1.75,-1,-1,-0.5,-12.5,-11.1111111111111,-15.3846153846154
"336",336,"Democrat",3,"Strong Democrat",1,1,1,1,5,5,"Man","35-44","Most of the time",5,5,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"337",337,"Republican",3,"Lean Democrat",1,2,5,1,9,8,"Man","25-34","Some of the time",9,9,"","","","","",1,1,5,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2.25,2,0,1,-0.25,0,11.1111111111111,-7.69230769230769
"338",338,"Democrat",1,"Independent",1,1,1,1,8,6,"Woman","45-54","Only now and then",5,5,"Disagree somewhat","Agree somewhat","Disagree strongly","Disagree somewhat","Disagree somewhat",2,1,1,1,"Jokes","Independent",2,4,1,2,2,4,5,3.75,"Independents/Not sures",1,1.25,-3,-1,0.25,-33.3333333333333,-14.2857142857143,12.5
"339",339,"Democrat",2,"Lean Republican",2,3,1,2,8,7,"Man","25-34","Most of the time",6,6,"Disagree somewhat","Disagree strongly","Neither disagree nor agree","Disagree strongly","Agree somewhat",2,2,1,3,"Assault","Republican",2,1,3,1,4,4,3,2.25,"Opposite party",2,2,-2,-1,0,-22.2222222222222,-12.5,0
"340",340,"Democrat",1,"Not very strong Republican",2,4,5,4,7,5,"Woman","35-44","Only now and then",7,5,"Agree somewhat","Disagree somewhat","Disagree somewhat","Disagree strongly","Disagree strongly",2,5,2,4,"Jokes","Republican",4,2,2,1,1,2,4,2.25,"Opposite party",3.75,3.25,0,0,-0.5,0,0,-10.5263157894737
"341",341,"Democrat",3,"Independent",3,3,4,4,5,5,"Woman","35-44","Only now and then",5,5,"","","","","",3,4,4,3,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",3.5,3.5,0,0,0,0,0,0
"342",342,"Democrat",3,"Lean Democrat",1,1,1,1,5,5,"Woman","65 or over","Most of the time",5,5,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"343",343,"Republican",3,"Lean Republican",2,2,4,2,8,8,"Man","35-44","Only now and then",8,8,"","","","","",2,2,4,2,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2.5,2.5,0,0,0,0,0,0
"344",344,"Republican",2,"Lean Republican",3,3,3,3,8,5,"Woman","35-44","Only now and then",8,5,"Agree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat",3,3,3,3,"Assault","Republican",4,2,2,2,2,2,4,2.5,"Same party",3,3,0,0,0,0,0,0
"345",345,"Democrat",3,"Not very strong Republican",3,3,2,3,4,0,"Man","55-64","Most of the time",5,0,"","","","","",3,3,2,3,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2.75,2.75,1,0,0,20,0,0
"346",346,"Republican",3,"Strong Republican",3,5,3,4,10,10,"Man","18-24","Hardly at all",9,8,"","","","","",3,5,1,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",3.75,3.25,-1,-2,-0.5,-9.09090909090909,-18.1818181818182,-10.5263157894737
"347",347,"Democrat",2,"Lean Democrat",1,2,1,4,9,7,"Man","25-34","Most of the time",3,2,"Disagree somewhat","Agree strongly","Disagree somewhat","Disagree somewhat","Disagree somewhat",1,2,1,4,"Assault","Democrat",2,5,2,2,2,4,4,3.75,"Same party",2,2,-6,-5,0,-60,-62.5,0
"348",348,"Democrat",2,"Not very strong Democrat",4,4,2,4,9,8,"Woman","35-44","Some of the time",9,8,"Agree strongly","Disagree somewhat","Agree strongly","Disagree strongly","Agree strongly",4,4,2,4,"Assault","Democrat",5,2,5,1,5,1,1,1.25,"Same party",3.5,3.5,0,0,0,0,0,0
"349",349,"Democrat",1,"Strong Democrat",1,1,1,1,10,10,"Woman","45-54","Most of the time",3,3,"Disagree strongly","Agree strongly","Disagree strongly","Neither disagree nor agree","Disagree strongly",1,1,1,1,"Jokes","Democrat",1,5,1,3,1,5,5,4.5,"Same party",1,1,-7,-7,0,-63.6363636363636,-63.6363636363636,0
"350",350,"Republican",1,"Not very strong Democrat",2,2,5,2,5,2,"Man","45-54","Most of the time",5,2,"Agree somewhat","Disagree strongly","Agree strongly","Disagree strongly","Neither disagree nor agree",2,1,4,1,"Jokes","Democrat",4,1,5,1,3,2,1,1.25,"Opposite party",2.75,2,0,0,-0.75,0,0,-20
"351",351,"Republican",2,"Not very strong Democrat",3,2,2,2,5,5,"Man","25-34","Most of the time",4,4,"Neither disagree nor agree","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree","Agree somewhat",2,2,2,2,"Assault","Democrat",3,3,2,3,4,3,4,3.25,"Opposite party",2.25,2,-1,-1,-0.25,-16.6666666666667,-16.6666666666667,-7.69230769230769
"352",352,"Democrat",1,"Strong Republican",4,3,2,5,10,10,"Woman","25-34","Some of the time",10,10,"Agree somewhat","Agree somewhat","Agree strongly","Agree strongly","Agree somewhat",4,4,1,4,"Jokes","Republican",4,4,5,5,4,2,1,3,"Opposite party",3.5,3.25,0,0,-0.25,0,0,-5.55555555555556
"353",353,"Democrat",1,"Strong Republican",4,5,1,4,8,8,"Man","25-34","Some of the time",9,8,"Agree somewhat","Agree strongly","Agree somewhat","Agree strongly","Agree somewhat",4,5,2,5,"Jokes","Republican",4,5,4,5,4,2,2,3.5,"Opposite party",3.5,4,1,0,0.5,11.1111111111111,0,11.1111111111111
"354",354,"Republican",1,"Strong Democrat",1,1,1,1,5,1,"Woman","25-34","Most of the time",0,0,"Disagree strongly","Agree strongly","Disagree strongly","Agree somewhat","Disagree strongly",1,1,1,1,"Jokes","Democrat",1,5,1,4,1,5,5,4.75,"Opposite party",1,1,-5,-1,0,-83.3333333333333,-50,0
"355",355,"Republican",3,"Lean Republican",3,4,2,4,7,7,"Woman","25-34","Only now and then",8,7,"","","","","",3,4,4,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",3.25,3.75,1,0,0.5,12.5,0,11.7647058823529
"356",356,"Democrat",1,"Strong Democrat",2,4,2,4,8,8,"Man","35-44","Some of the time",8,8,"Agree somewhat","Disagree somewhat","Agree somewhat","Disagree strongly","Neither disagree nor agree",2,4,4,4,"Jokes","Democrat",4,2,4,1,3,2,2,1.75,"Same party",3,3.5,0,0,0.5,0,0,12.5
"357",357,"Democrat",2,"Strong Democrat",1,1,1,1,10,10,"Woman","45-54","Most of the time",8,8,"Agree somewhat","Agree strongly","Agree somewhat","Disagree strongly","Agree somewhat",1,1,1,1,"Assault","Democrat",4,5,4,1,4,2,2,2.5,"Same party",1,1,-2,-2,0,-18.1818181818182,-18.1818181818182,0
"358",358,"Democrat",2,"Independent",2,2,2,2,6,6,"Man","25-34","Some of the time",4,4,"Neither disagree nor agree","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree","Neither disagree nor agree",2,2,2,2,"Assault","Independent",3,3,1,3,3,3,5,3.5,"Independents/Not sures",2,2,-2,-2,0,-28.5714285714286,-28.5714285714286,0
"359",359,"Republican",3,"Independent",2,3,1,4,7,5,"Man","45-54","Only now and then",7,5,"","","","","",2,3,1,4,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",2.5,2.5,0,0,0,0,0,0
"360",360,"Republican",2,"Independent",3,3,3,2,9,8,"Woman","35-44","Only now and then",5,5,"Agree somewhat","Neither disagree nor agree","Disagree somewhat","Disagree somewhat","Neither disagree nor agree",4,3,4,2,"Assault","Independent",4,3,2,2,3,2,4,2.75,"Independents/Not sures",2.75,3.25,-4,-3,0.5,-40,-33.3333333333333,13.3333333333333
"361",361,"Democrat",2,"Independent",4,5,2,5,8,9,"Man","45-54","Some of the time",9,8,"Agree somewhat","Agree somewhat","Agree strongly","Agree somewhat","Agree strongly",4,5,2,4,"Assault","Independent",4,4,5,4,5,2,1,2.75,"Independents/Not sures",4,3.75,1,-1,-0.25,11.1111111111111,-10,-5
"362",362,"Democrat",2,"Independent",1,2,1,1,8,8,"Woman","55-64","Only now and then",6,8,"Disagree strongly","Agree somewhat","Disagree strongly","Disagree somewhat","Disagree strongly",2,2,2,2,"Assault","Independent",1,4,1,2,1,5,5,4,"Independents/Not sures",1.25,2,-2,0,0.75,-22.2222222222222,0,33.3333333333333
"363",363,"Democrat",2,"Independent",4,5,2,5,9,8,"Woman","55-64","Most of the time",8,8,"Agree somewhat","Disagree strongly","Agree strongly","Disagree strongly","Agree somewhat",4,5,4,5,"Assault","Independent",4,1,5,1,4,2,1,1.25,"Independents/Not sures",4,4.5,-1,0,0.5,-10,0,10
"364",364,"Republican",3,"Independent",5,5,1,5,10,10,"Man","25-34","Most of the time",9,8,"","","","","",5,5,1,5,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",4,4,-1,-2,0,-9.09090909090909,-18.1818181818182,0
"365",365,"Democrat",2,"Strong Republican",4,4,2,3,5,0,"Man","25-34","Some of the time",0,0,"Neither disagree nor agree","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree","Neither disagree nor agree",4,4,2,3,"Assault","Republican",3,3,1,3,3,3,5,3.5,"Opposite party",3.25,3.25,-5,0,0,-83.3333333333333,0,0
"366",366,"Republican",2,"Lean Democrat",2,2,4,2,6,6,"Woman","25-34","Some of the time",5,5,"Neither disagree nor agree","Neither disagree nor agree","Disagree strongly","Disagree strongly","Disagree somewhat",2,2,4,2,"Assault","Democrat",3,3,1,1,2,3,5,3,"Opposite party",2.5,2.5,-1,-1,0,-14.2857142857143,-14.2857142857143,0
"367",367,"Republican",1,"Independent",3,3,3,2,7,5,"Woman","35-44","Some of the time",7,5,"Agree strongly","Neither disagree nor agree","Agree strongly","Disagree strongly","Agree strongly",3,2,3,2,"Jokes","Independent",5,3,5,1,5,1,1,1.5,"Independents/Not sures",2.75,2.5,0,0,-0.25,0,0,-6.66666666666667
"368",368,"Republican",3,"Lean Democrat",2,2,2,2,5,3,"Man","25-34","Most of the time",5,3,"","","","","",2,2,2,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,2,0,0,0,0,0,0
"369",369,"Democrat",2,"Not very strong Republican",2,2,2,4,1,0,"Man","55-64","Some of the time",1,0,"Agree strongly","Disagree strongly","Agree somewhat","Disagree strongly","Agree somewhat",2,2,2,4,"Assault","Republican",5,1,4,1,4,1,2,1.25,"Opposite party",2.5,2.5,0,0,0,0,0,0
"370",370,"Republican",1,"Lean Republican",2,2,4,2,9,9,"Man","25-34","Some of the time",9,9,"Agree somewhat","Disagree strongly","Agree somewhat","Disagree strongly","Neither disagree nor agree",2,2,4,2,"Jokes","Republican",4,1,4,1,3,2,2,1.5,"Same party",2.5,2.5,0,0,0,0,0,0
"371",371,"Republican",2,"Not very strong Democrat",2,3,2,2,9,8,"Woman","45-54","Some of the time",8,7,"Neither disagree nor agree","Disagree somewhat","Agree somewhat","Disagree somewhat","Disagree somewhat",2,2,2,3,"Assault","Democrat",3,2,4,2,2,3,2,2.25,"Opposite party",2.25,2.25,-1,-1,0,-10,-11.1111111111111,0
"372",372,"Democrat",2,"Independent",1,2,3,2,8,7,"Man","25-34","Hardly at all",7,7,"Agree strongly","Disagree strongly","Disagree strongly","Disagree strongly","Agree somewhat",2,1,4,1,"Assault","Independent",5,1,1,1,4,1,5,2,"Independents/Not sures",2,2,-1,0,0,-11.1111111111111,0,0
"373",373,"Democrat",2,"Not very strong Republican",2,1,1,2,7,5,"Woman","55-64","Some of the time",5,5,"Disagree somewhat","Neither disagree nor agree","Disagree somewhat","Neither disagree nor agree","Disagree strongly",2,2,1,2,"Assault","Republican",2,3,2,3,1,4,4,3.5,"Opposite party",1.5,1.75,-2,0,0.25,-25,0,10
"374",374,"Republican",1,"Lean Republican",3,3,1,1,10,10,"Woman","35-44","Some of the time",7,8,"Agree somewhat","Disagree somewhat","Neither disagree nor agree","Disagree strongly","Disagree somewhat",3,2,1,1,"Jokes","Republican",4,2,3,1,2,2,3,2,"Same party",2,1.75,-3,-2,-0.25,-27.2727272727273,-18.1818181818182,-8.33333333333333
"375",375,"Democrat",1,"Not very strong Democrat",1,1,1,1,9,8,"Woman","25-34","Most of the time",0,0,"Disagree strongly","Agree strongly","Disagree strongly","Agree strongly","Disagree strongly",1,1,1,1,"Jokes","Democrat",1,5,1,5,1,5,5,5,"Same party",1,1,-9,-8,0,-90,-88.8888888888889,0
"376",376,"Republican",2,"Not very strong Democrat",3,2,2,2,6,7,"Man","35-44","Some of the time",6,5,"Agree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat","Neither disagree nor agree",2,3,2,2,"Assault","Democrat",4,2,2,2,3,2,4,2.5,"Opposite party",2.25,2.25,0,-2,0,0,-25,0
"377",377,"Democrat",2,"Lean Democrat",2,2,3,2,8,5,"Woman","45-54","Most of the time",2,2,"Disagree somewhat","Agree somewhat","Disagree somewhat","Neither disagree nor agree","Agree somewhat",2,2,4,2,"Assault","Democrat",2,4,2,3,4,4,4,3.75,"Same party",2.25,2.5,-6,-3,0.25,-66.6666666666667,-50,7.69230769230769
"378",378,"Republican",2,"Strong Democrat",1,1,1,1,8,0,"Woman","18-24","Most of the time",0,0,"Disagree strongly","Agree strongly","Disagree strongly","Disagree somewhat","Disagree strongly",1,1,5,1,"Assault","Democrat",1,5,1,2,1,5,5,4.25,"Opposite party",1,2,-8,0,1,-88.8888888888889,0,50
"379",379,"Republican",3,"Not very strong Democrat",1,1,1,1,4,0,"Woman","35-44","Most of the time",4,0,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",1,1,0,0,0,0,0,0
"380",380,"Democrat",3,"Strong Democrat",2,2,2,2,9,6,"Woman","45-54","Most of the time",6,6,"","","","","",1,1,2,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2,1.25,-3,0,-0.75,-30,0,-25
"381",381,"Democrat",3,"Not very strong Democrat",3,2,2,2,7,7,"Man","45-54","Most of the time",6,5,"","","","","",3,2,2,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2.25,2.25,-1,-2,0,-12.5,-25,0
"382",382,"Democrat",1,"Independent",1,1,1,2,8,7,"Woman","45-54","Most of the time",6,6,"Agree somewhat","Disagree somewhat","Agree strongly","Disagree strongly","Disagree somewhat",1,1,1,2,"Jokes","Independent",4,2,5,1,2,2,1,1.5,"Independents/Not sures",1.25,1.25,-2,-1,0,-22.2222222222222,-12.5,0
"383",383,"Democrat",1,"Strong Democrat",2,2,3,2,8,8,"Woman","45-54","Most of the time",3,1,"Disagree somewhat","Agree somewhat","Disagree strongly","Agree strongly","Agree somewhat",2,2,4,2,"Jokes","Democrat",2,4,1,5,4,4,5,4.5,"Same party",2.25,2.5,-5,-7,0.25,-55.5555555555556,-77.7777777777778,7.69230769230769
"384",384,"Democrat",3,"Not very strong Democrat",2,2,4,2,3,8,"Woman","35-44","Most of the time",6,6,"","","","","",2,2,4,2,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2.5,2.5,3,-2,0,75,-22.2222222222222,0
"385",385,"Republican",3,"Independent",5,5,3,5,4,10,"Man","45-54","Most of the time",4,10,"","","","","",5,5,3,5,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",4.5,4.5,0,0,0,0,0,0
"386",386,"Democrat",3,"Strong Democrat",1,1,1,1,9,10,"Woman","45-54","Most of the time",9,10,"","","","","",1,1,1,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"387",387,"Republican",1,"Strong Republican",2,2,2,1,10,10,"Man","45-54","Most of the time",10,10,"Agree strongly","Disagree somewhat","Neither disagree nor agree","Disagree strongly","Disagree somewhat",2,1,4,2,"Jokes","Republican",5,2,3,1,2,1,3,1.75,"Same party",1.75,2.25,0,0,0.5,0,0,18.1818181818182
"388",388,"Democrat",3,"Not very strong Republican",2,4,2,3,6,4,"Man","55-64","Most of the time",6,4,"","","","","",2,4,2,2,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2.75,2.5,0,0,-0.25,0,0,-6.66666666666667
"389",389,"Democrat",1,"Independent",2,1,4,1,10,7,"Man","25-34","Most of the time",9,7,"Disagree somewhat","Agree somewhat","Disagree somewhat","Disagree strongly","Agree somewhat",2,1,2,1,"Jokes","Independent",2,4,2,1,4,4,4,3.25,"Independents/Not sures",2,1.5,-1,0,-0.5,-9.09090909090909,0,-16.6666666666667
"390",390,"Republican",3,"Lean Democrat",1,1,5,1,8,7,"Woman","25-34","Most of the time",9,8,"","","","","",1,1,2,1,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",2,1.25,1,1,-0.75,11.1111111111111,12.5,-25
"391",391,"Republican",3,"Strong Republican",1,1,1,1,10,10,"Man","35-44","Most of the time",10,10,"","","","","",1,1,1,1,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",1,1,0,0,0,0,0,0
"392",392,"Republican",3,"Not very strong Republican",2,2,2,2,8,8,"Woman","25-34","Only now and then",8,8,"","","","","",2,2,2,2,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",2,2,0,0,0,0,0,0
"393",393,"Republican",2,"Independent",1,1,1,1,5,5,"Man","25-34","Most of the time",5,5,"Neither disagree nor agree","Disagree strongly","Neither disagree nor agree","Disagree strongly","Neither disagree nor agree",1,1,1,1,"Assault","Independent",3,1,3,1,3,3,3,2,"Independents/Not sures",1,1,0,0,0,0,0,0
"394",394,"Republican",2,"Independent",5,5,2,5,9,7,"Man","18-24","Some of the time",6,7,"Agree somewhat","Agree somewhat","Agree strongly","Neither disagree nor agree","Neither disagree nor agree",5,4,1,4,"Assault","Independent",4,4,5,3,3,2,1,2.5,"Independents/Not sures",4.25,3.5,-3,0,-0.75,-30,0,-14.2857142857143
"395",395,"Democrat",1,"Strong Republican",2,2,1,4,4,2,"Man","25-34","Most of the time",5,1,"Disagree somewhat","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree",2,2,2,2,"Jokes","Republican",2,3,3,3,3,4,3,3.25,"Opposite party",2.25,2,1,-1,-0.25,20,-33.3333333333333,-7.69230769230769
"396",396,"Republican",1,"Not very strong Democrat",1,1,3,1,7,1,"Woman","35-44","Some of the time",5,0,"Disagree somewhat","Agree somewhat","Disagree strongly","Agree somewhat","Neither disagree nor agree",1,1,5,1,"Jokes","Democrat",2,4,1,4,3,4,5,4.25,"Opposite party",1.5,2,-2,-1,0.5,-25,-50,20
"397",397,"Republican",2,"Lean Republican",4,4,5,4,10,10,"Man","25-34","Only now and then",10,10,"Agree strongly","Disagree somewhat","Agree strongly","Disagree strongly","Agree strongly",4,4,5,4,"Assault","Republican",5,2,5,1,5,1,1,1.25,"Same party",4.25,4.25,0,0,0,0,0,0
"398",398,"Democrat",1,"Strong Democrat",5,3,2,4,7,5,"Woman","25-34","Only now and then",8,6,"Agree somewhat","Neither disagree nor agree","Agree strongly","Agree somewhat","Neither disagree nor agree",2,2,5,1,"Jokes","Democrat",4,3,5,4,3,2,1,2.5,"Same party",3.5,2.5,1,1,-1,12.5,16.6666666666667,-22.2222222222222
"399",399,"Republican",2,"Strong Democrat",1,1,1,1,6,5,"Woman","35-44","Some of the time",1,0,"Disagree strongly","Neither disagree nor agree","Disagree somewhat","Agree strongly","Disagree somewhat",1,1,1,1,"Assault","Democrat",1,3,2,5,2,5,4,4.25,"Opposite party",1,1,-5,-5,0,-71.4285714285714,-83.3333333333333,0
"400",400,"Republican",3,"Strong Republican",5,5,5,5,9,10,"Woman","35-44","Most of the time",10,10,"","","","","",5,5,5,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",5,4.75,1,0,-0.25,10,0,-4.16666666666667
"401",401,"Republican",1,"Strong Democrat",2,3,1,4,8,2,"Man","65 or over","Most of the time",5,1,"Agree somewhat","Neither disagree nor agree","Agree somewhat","Disagree somewhat","Disagree strongly",2,3,1,4,"Jokes","Democrat",4,3,4,2,1,2,2,2.25,"Opposite party",2.5,2.5,-3,-1,0,-33.3333333333333,-33.3333333333333,0
"402",402,"Democrat",3,"Independent",2,2,2,2,5,5,"Woman","18-24","Only now and then",5,5,"","","","","",2,2,2,2,"Control","Independent",NA,NA,NA,NA,NA,NA,NA,NA,"Independents/Not sures",2,2,0,0,0,0,0,0
"403",403,"Republican",1,"Strong Democrat",1,1,2,1,5,1,"Woman","18-24","Some of the time",3,0,"Neither disagree nor agree","Agree somewhat","Neither disagree nor agree","Neither disagree nor agree","Disagree somewhat",1,1,2,1,"Jokes","Democrat",3,4,3,3,2,3,3,3.25,"Opposite party",1.25,1.25,-2,-1,0,-33.3333333333333,-50,0
"404",404,"Democrat",3,"Lean Democrat",3,3,2,4,5,4,"Man","25-34","Some of the time",4,4,"","","","","",2,3,2,4,"Control","Democrat",NA,NA,NA,NA,NA,NA,NA,NA,"Same party",3,2.75,-1,0,-0.25,-16.6666666666667,0,-6.25
"405",405,"Democrat",3,"Lean Republican",5,4,2,3,9,9,"Man","45-54","Some of the time",9,8,"","","","","",4,5,3,4,"Control","Republican",NA,NA,NA,NA,NA,NA,NA,NA,"Opposite party",3.5,4,0,-1,0.5,0,-10,11.1111111111111
